Scenario TID,Test Data,TestCase Description,PreCondition,TestSteps,Expected Result,Actual Result,Steps to Execute,Expected Result,Actual Result,Status,Executed QA Name ,Misc (Comments),Priority,Is Automated
"Login | TC-LOGIN-001","Valid email + valid password","Verify successful login with valid credentials (positive scenario)","User account exists and is active","1. Navigate to app.vwo.com 2. Enter valid registered email 3. Enter valid corresponding password 4. Click Login button","User is redirected to main VWO dashboard; session is established; user sees personalized dashboard","Inference (low confidence): User redirected to dashboard","1. Navigate to app.vwo.com 2. Enter valid registered email 3. Enter valid corresponding password 4. Click Login button","User is redirected to main VWO dashboard; session is established; user sees personalized dashboard","","","QA Specialist (15 Years Experience)","Inference (low confidence)","High","No"
"Login | TC-LOGIN-002","Invalid email format (e.g., ""userexample.com"")","Verify real-time email format validation triggers on blur (negative scenario)","Login page loaded; JavaScript enabled","1. Navigate to app.vwo.com 2. Click into email field 3. Type ""userexample.com"" 4. Tab or click out of email field (blur)","Field shows email format validation error message; error is immediate and clear; specialized mobile keyboard not triggered (desktop context)","Inference (low confidence): Validation error displays","1. Navigate to app.vwo.com 2. Click into email field 3. Type ""userexample.com"" 4. Tab or click out of email field (blur)","Field shows email format validation error message; error is immediate and clear; specialized mobile keyboard not triggered (desktop context)","","","QA Specialist (15 Years Experience)","Inference (low confidence)","High","No"
"Login | TC-LOGIN-003","Unregistered email + any password","Verify error handling for non-existent account (negative scenario)","No account associated with the email address","1. Navigate to app.vwo.com 2. Enter email not registered with VWO 3. Enter any password 4. Click Login","Clear actionable error message indicating authentication failure; no account enumeration leak (generic message)","Inference (low confidence): Error message displays","1. Navigate to app.vwo.com 2. Enter email not registered with VWO 3. Enter any password 4. Click Login","Clear actionable error message indicating authentication failure; no account enumeration leak (generic message)","","","QA Specialist (15 Years Experience)","Inference (low confidence)","High","No"
"Login | TC-LOGIN-004","Valid email + incorrect password","Verify error handling for wrong password (negative scenario)","User account exists; password mismatch","1. Navigate to app.vwo.com 2. Enter valid registered email 3. Enter wrong password 4. Click Login","Clear actionable error message for failed authentication; password field may be cleared or highlighted; no lockout unless threshold exceeded","Inference (low confidence): Authentication failure error displays","1. Navigate to app.vwo.com 2. Enter valid registered email 3. Enter wrong password 4. Click Login","Clear actionable error message for failed authentication; password field may be cleared or highlighted; no lockout unless threshold exceeded","","","QA Specialist (15 Years Experience)","Inference (low confidence)","High","No"
"Login | TC-LOGIN-005","Valid email + valid password + ""Remember Me"" checked","Verify persistent login session when Remember Me is enabled (positive scenario)","User account exists; browser accepts cookies","1. Navigate to app.vwo.com 2. Check ""Remember Me"" checkbox 3. Enter valid credentials 4. Click Login 5. Close browser 6. Reopen browser and navigate to app.vwo.com","User remains logged in or session persists without re-entering credentials (within session timeout limits)","Inference (low confidence): User session persists on page reload","1. Navigate to app.vwo.com 2. Check ""Remember Me"" checkbox 3. Enter valid credentials 4. Click Login 5. Close browser 6. Reopen browser and navigate to app.vwo.com","User remains logged in or session persists without re-entering credentials (within session timeout limits)","","","QA Specialist (15 Years Experience)","Inference (low confidence)","Medium","No"
"Login | TC-LOGIN-006","N/A - UI interaction","Verify autofocus on first input field (email) on page load","Login page loaded","1. Navigate to app.vwo.com 2. Do not click anywhere 3. Observe cursor position","Cursor automatically placed in email input field ready for typing without additional clicks","Inference (low confidence): Cursor focuses on email field","1. Navigate to app.vwo.com 2. Do not click anywhere 3. Observe cursor position","Cursor automatically placed in email input field ready for typing without additional clicks","","","QA Specialist (15 Years Experience)","Inference (low confidence)","Low","Yes"
"Login | TC-LOGIN-007","N/A - interaction after submission","Verify loading state displayed during authentication processing","User credentials submitted; network delay simulated","1. Navigate to app.vwo.com 2. Enter valid credentials 3. Click Login 4. Observe button/interface during authentication","Loading spinner or disable button or ""Processing"" message appears; user cannot submit again until response received","Inference (low confidence): Loading spinner appears","1. Navigate to app.vwo.com 2. Enter valid credentials 3. Click Login 4. Observe button/interface during authentication","Loading spinner or disable button or ""Processing"" message appears; user cannot submit again until response received","","","QA Specialist (15 Years Experience)","Inference (low confidence)","Medium","No"
"Login | TC-SEC-001","Multiple rapid login attempts from same IP","Verify rate limiting protects against brute force attacks (non-functional/security)","Login endpoint accessible; no prior rate limit blocks","1. Navigate to app.vwo.com 2. Attempt login with wrong credentials repeatedly (e.g., 10+ times in 1 minute) using script or rapid manual clicks","After threshold exceeded, system returns rate limiting error or temporary block; no successful brute force","Inference (low confidence): Rate limit block triggered","1. Navigate to app.vwo.com 2. Attempt login with wrong credentials repeatedly (e.g., 10+ times in 1 minute) using script or rapid manual clicks","After threshold exceeded, system returns rate limiting error or temporary block; no successful brute force","","","QA Specialist (15 Years Experience)","Inference (low confidence)","High","Yes"
"Login | TC-NAV-001","N/A - click ""New to VWO? Free trial signup"" link","Verify registration path directs to free trial signup page (positive scenario)","Login page loaded","1. Navigate to app.vwo.com 2. Click on the signup / free trial registration link as shown in screenshot/PRD","User is taken to VWO free trial signup page; not logged in; registration flow starts","Inference (low confidence): Navigation to signup page successful","1. Navigate to app.vwo.com 2. Click on the signup / free trial registration link as shown in screenshot/PRD","User is taken to VWO free trial signup page; not logged in; registration flow starts","","","QA Specialist (15 Years Experience)","Inference (low confidence)","Medium","No"
"Login | TC-ACC-001","N/A - keyboard only (Tab, Enter, Space)","Verify full keyboard navigation for all interactive elements (non-functional/accessibility)","Login page loaded; screen reader not required for this test","1. Navigate to app.vwo.com 2. Press Tab repeatedly 3. Verify focus moves to email, password, Remember Me checkbox, Login button, signup link 4. Press Enter on focused Login button 5. Press Space on checkbox","Focus indicator visible on each element; Enter triggers login; Space toggles checkbox; no mouse needed","Inference (low confidence): Focus indicator functions correctly","1. Navigate to app.vwo.com 2. Press Tab repeatedly 3. Verify focus moves to email, password, Remember Me checkbox, Login button, signup link 4. Press Enter on focused Login button 5. Press Space on checkbox","Focus indicator visible on each element; Enter triggers login; Space toggles checkbox; no mouse needed","","","QA Specialist (15 Years Experience)","Inference (low confidence)","Medium","Yes"
